iter	Passed	Remaining
0	1	117
1	2	104
2	3	98
3	3	79
4	4	91
5	5	80
6	5	73
7	7	82
8	7	78
9	8	73
10	8	68
11	8	65
12	9	61
13	9	59
14	9	56
15	10	54
16	10	52
17	11	50
18	11	48
19	11	47
20	12	46
21	12	44
22	12	43
23	13	42
24	13	41
25	14	40
26	14	39
27	14	38
28	15	37
29	15	36
30	15	35
31	16	34
32	16	33
33	16	32
34	17	32
35	17	31
36	18	30
37	18	29
38	18	29
39	19	28
40	19	27
41	19	27
42	19	26
43	20	25
44	20	25
45	20	24
46	21	24
47	21	23
48	22	23
49	22	22
50	22	21
51	23	21
52	23	20
53	23	20
54	24	19
55	24	19
56	24	18
57	25	18
58	25	17
59	25	17
60	26	16
61	26	16
62	26	15
63	27	15
64	27	14
65	27	14
66	28	13
67	28	13
68	29	13
69	29	12
70	29	12
71	30	11
72	30	11
73	30	10
74	31	10
75	31	9
76	31	9
77	32	9
78	32	8
79	32	8
80	33	7
81	33	7
82	34	6
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	36	4
90	37	3
91	37	3
92	37	2
93	38	2
94	38	2
95	38	1
96	39	1
97	39	0
98	40	0
99	40	0
